시장명,구분,주소,전화,취급품목,이용시간,휴무,주차시설,기본설명,팝업창 기본설명
대인시장,동구,광주 동구 제봉로194번길 7-1,062-223-3001,"농수산물, 가공식품, 수산물",08:00 ~ 20:00 / 야시장운영 매주토 19~23시,첫째주셋째주 일요일,"62면/공영(30분당 500원, 시장이용객 1시간무료지원)",대인동은 옛날부터 자리를 잡아온 동네라 그런지 유독히도 어르신들이 많다. 주변 인근 역에서 농수산물을 가지고와 팔기 위해 모이면서 시장이 형성되었다. 현재 야시장이 널리알려져 함께 상생하는 시장이 되어 옛모습은 많이 잃었지만 여전히 정감가는 곳에 위치해 있다.,대인동은 옛날부터 자리를 잡아온 동네라 그런지 유독히도 어르신들이 많다. 주변 인근 역에서 농수산물을 가지고와 팔기 위해 모이면서 시장이 형성되었다. 현재 야시장이 널리알려져 함께 상생하는 시장이 되어 옛모습은 많이 잃었지만 여전히 정감가는 곳에 위치해 있다.
산수무등산시장,동구,광주 동구 필문대로17번길 13-6,062-226-1101,"야채, 청과",03:00 ~ 21:00,"첫째, 셋째 일요일 휴무",없음,1970년대쯤부터 산수동일대에 상권이형성되면서 자연스레 만들어진 골목형 전통시장이다.,1970년대쯤부터 산수동일대에 상권이형성되면서 자연스레 만들어진 골목형 전통시장이다.
산수시장,동구,광주 동구 필문대로17번길 9-9,062-226-1101,"농산물 도매, 홍어, 수산물 등","07:00 ~ 20:00 / 음식점운영 월~토 15:00~23:00",첫째주셋째주 일 일요일,"111면/공영(30분당 600원, 시장이용객 45분 무료지원)",산수시장은 산수동일대에 자연스레 생겨난 수산물 특화시장이다.산수동일대에 위치 산수오거리에 상권 형성이 되면서 자연스레골목형으로 수산물을 파는상인과 음식점이 주를이루며 먹거리 등 특화된 특화시장이다.,산수시장은 산수동일대에 자연스레 생겨난 수산물 특화시장이다.산수동일대에 위치 산수오거리에 상권 형성이 되면서 자연스레골목형으로 수산물을 파는상인과 음식점이 주를이루며 먹거리 등 특화된 특화시장이다.
남광주시장,동구,광주광역시 동구 양림로 192번길 9,062-224-8651,국밥골목,07:00 ~ 22:00,없음,공영,남광주 지하철역에 위치한 남광주역 특성상으로 수산물이나 농산물등을 떼와서 팔기시작해 만들어진 시장으로 국밥골목이 유명하여 많은 국밥집을 판매한다.,남광주 지하철역에 위치한 남광주역 특성상으로 수산물이나 농산물등을 떼와서 팔기시작해 만들어진 시장으로 국밥골목이 유명하여 많은 국밥집을 판매한다.
양동시장,서구,광주 서구 천변좌로 238,062-366-0884,"홍어, 건어물, 제기, 의류, 혼수, 커텐 등",07:00 ~ 21:00,첫째주셋째주 일 일요일(4월~9월),"446면/공영(30분700원, 시장30분무료+상인30분무료)","양동시장은 호남최대의 시장으로 불릴정도로 규모가 큰 광주를 대표하는 시장이다. 전국에서 소비되는 홍어의 90%가 양동시장에서 유통되며, 제수용품이 전국최고의 품질을 자랑하는것으로 유명하다. 호남최대 전통시장 명성에 걸맞게 시장내 점포에서 판매하는 농수산물을 직접 가공하여 판매하는 반찬, 생활용품, 한복, 혼수품 등 다양한 물품을 판매하고 있다.","양동시장은 호남최대의 시장으로 불릴정도로 규모가 큰 광주를 대표하는 시장이다. 전국에서 소비되는 홍어의 90%가 양동시장에서 유통되며, 제수용품이 전국최고의 품질을 자랑하는것으로 유명하다. 호남최대 전통시장 명성에 걸맞게 시장내 점포에서 판매하는 농수산물을 직접 가공하여 판매하는 반찬, 생활용품, 한복, 혼수품 등 다양한 물품을 판매하고 있다."
양동복개상가시장,서구,광주 서구 천변좌로 243,062-366-0884,"의류, 커텐, 침구",09:00 ~ 21:00,"첫째, 셋째 일요일 휴무",공영,양동복개상가시장은 광주천위로 다리를 건설 해 만든 양동복개상가는 의류와 커텐을 파는 도소매점 특화시장이다.,양동복개상가시장은 광주천위로 다리를 건설 해 만든 양동복개상가는 의류와 커텐을 파는 도소매점 특화시장이다.
양동수산물시장,서구,광주 서구 양동시장2길 32,062-361-1127,게,09:00 ~ 21:00,"첫째, 셋째 일요일 휴무",공영,처음에는 호남 지역 가장 큰 수산물이 유통되는 도매업을 위주로 하다가 점차 소매형태로 판매하다가 1980년대쯤부터 이름을 건 수산물 시장으로 발전하였다.,처음에는 호남 지역 가장 큰 수산물이 유통되는 도매업을 위주로 하다가 점차 소매형태로 판매하다가 1980년대쯤부터 이름을 건 수산물 시장으로 발전하였다.
양동건어물시장,서구,광주 서구 천변좌로246번길 16,062-364-3094,홍어,09:00 ~ 21:00,"첫째, 셋째 일요일 휴무",공영,현재 양동시장 내 한구역을 차지하며 1960년대 건어물시장으로 개설되었다.,현재 양동시장 내 한구역을 차지하며 1960년대 건어물시장으로 개설되었다.
양동건어물종합,서구,광주 서구 천변좌로254번길 6,062-364-5040,멸치,06:00 ~ 19:00,"첫째, 셋째 일요일 휴무",공영,양동건어물시장은 다양한 건어물을 판매하는 도매 점포이며 소매점포와 도매상 규모가 커서 도매업을 위주로타지역까지 판매하고 건어물을 구입할 수 있다.,양동건어물시장은 다양한 건어물을 판매하는 도매 점포이며 소매점포와 도매상 규모가 커서 도매업을 위주로타지역까지 판매하고 건어물을 구입할 수 있다.
양동산업용품시장,서구,광주 서구 양동로 205,062-364-3370,기계,06:30 ~ 19:30,"첫째, 셋째 일요일 휴무",공영,양동산업용품시장은 원래는 1950년대부터 개설되었는데 처음에는 기계나 철물점같은 점포가 모여서 소매형태로 판매하다가 1970년대부터 산업용품을 판매하는 점포가 모이는 상가로 발전하게 되었다.,양동산업용품시장은 원래는 1950년대부터 개설되었는데 처음에는 기계나 철물점같은 점포가 모여서 소매형태로 판매하다가 1970년대부터 산업용품을 판매하는 점포가 모이는 상가로 발전하게 되었다.
양동경열로시장,서구,광주 서구 경열로 140-1,062-363-9277,야채,03:00 ~ 21:00,"첫째, 셋째 일요일 휴무",공영,양동시장 한켠에 자리잡아 도매형태로 형성되어 있는 시장이다.,양동시장 한켠에 자리잡아 도매형태로 형성되어 있는 시장이다.
화정동서부시장,서구,광주 서구 화정로156번길 24-1,062-368-8161,"국밥, 족발, 한과, 떡, 아구찜",08:00 ~ 24:00,없음,"39면/공영(30분 700원, 상가 영수증 30분 무료)","서구 공영주 1호인 화정동에 상권이 밀집된 위치해 있는 화정동서부시장은 2001년에 개설되어 비교적 역사는 짧은 편이나, 주거 밀집된 아파트단지들이 형성되어 먹을거리 음식점과 특색 있는 메뉴로 식사 찾는 이들이다.","서구 공영주 1호인 화정동에 상권이 밀집된 위치해 있는 화정동서부시장은 2001년에 개설되어 비교적 역사는 짧은 편이나, 주거 밀집된 아파트단지들이 형성되어 먹을거리 음식점과 특색 있는 메뉴로 식사 찾는 이들이다."
